Vehicle_Class,Compact Cars,Compact Cars,Compact Cars,Large Cars,Large Cars,Large Cars,Midsize Cars,Midsize Cars,Midsize Cars,Midsize Station Wagons,Minicompact Cars,Minivan,Minivan,Small Pickup Trucks,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Station Wagons,Small Station Wagons,Small Station Wagons,Standard Pickup Trucks,Standard Pickup Trucks,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Subcompact Cars,Subcompact Cars,Subcompact Cars,Two Seaters,Two Seaters,Two Seaters,Van
Drivetrain_Type,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE,ICE,ICE,PHEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orleans County,0.0,95.0,0.0,0.0,104.0,0.0,0.0,410.0,2.0,9.0,5.0,98.0,0.0,38.0,2.0,632.0,1.0,3.0,52.0,0.0,0.0,772.0,0.0,158.0,0.0,0.0,81.0,0.0,0.0,19.0,0.0,9.0
Oswego County,0.0,301.0,4.0,0.0,262.0,0.0,4.0,1017.0,12.0,56.0,4.0,309.0,2.0,156.0,2.0,2082.0,13.0,1.0,182.0,1.0,2.0,2207.0,1.0,562.0,0.0,0.0,233.0,0.0,0.0,67.0,0.0,10.0
Otsego County,0.0,210.0,3.0,0.0,102.0,0.0,2.0,506.0,10.0,35.0,9.0,161.0,0.0,99.0,5.0,998.0,4.0,4.0,130.0,0.0,0.0,898.0,0.0,226.0,0.0,0.0,109.0,0.0,0.0,36.0,0.0,12.0
Putnam County,0.0,595.0,2.0,5.0,238.0,0.0,23.0,1263.0,11.0,66.0,22.0,168.0,2.0,126.0,20.0,2105.0,8.0,2.0,383.0,0.0,3.0,840.0,4.0,668.0,3.0,0.0,329.0,1.0,0.0,95.0,0.0,19.0
Queens County,9.0,5130.0,21.0,32.0,2793.0,2.0,176.0,15337.0,142.0,691.0,182.0,4617.0,19.0,256.0,283.0,18752.0,84.0,67.0,2389.0,4.0,8.0,2628.0,43.0,8167.0,30.0,6.0,2680.0,1.0,0.0,398.0,1.0,301.0
Rensselaer County,0.0,676.0,4.0,5.0,368.0,0.0,18.0,1697.0,22.0,98.0,9.0,305.0,0.0,179.0,13.0,2780.0,14.0,8.0,405.0,1.0,1.0,1878.0,2.0,731.0,3.0,1.0,355.0,0.0,0.0,108.0,0.0,13.0
Richmond County,1.0,1608.0,6.0,9.0,1001.0,3.0,61.0,4748.0,38.0,231.0,53.0,1030.0,1.0,131.0,90.0,7187.0,31.0,1.0,832.0,0.0,6.0,1411.0,11.0,3065.0,8.0,5.0,796.0,3.0,0.0,185.0,0.0,55.0
Rockland County,1.0,1340.0,8.0,26.0,719.0,1.0,65.0,4004.0,43.0,175.0,43.0,1104.0,0.0,151.0,64.0,4766.0,27.0,7.0,732.0,0.0,6.0,1332.0,13.0,1943.0,7.0,3.0,752.0,2.0,1.0,159.0,0.0,41.0
Saratoga County,2.0,1051.0,9.0,9.0,517.0,0.0,59.0,2752.0,57.0,100.0,43.0,508.0,3.0,273.0,26.0,4792.0,25.0,18.0,617.0,0.0,3.0,2529.0,5.0,1433.0,9.0,1.0,597.0,1.0,0.0,193.0,0.0,16.0
Schenectady County,0.0,785.0,9.0,6.0,423.0,0.0,15.0,2098.0,26.0,81.0,21.0,441.0,2.0,180.0,12.0,3005.0,18.0,13.0,517.0,3.0,1.0,1473.0,2.0,816.0,5.0,4.0,425.0,0.0,0.0,83.0,0.0,8.0
Schoharie County,0.0,127.0,2.0,0.0,84.0,0.0,1.0,328.0,4.0,26.0,6.0,69.0,0.0,50.0,1.0,525.0,1.0,1.0,63.0,0.0,0.0,630.0,0.0,139.0,0.0,0.0,74.0,0.0,0.0,23.0,0.0,3.0
Schuyler County,0.0,69.0,0.0,0.0,46.0,0.0,2.0,171.0,2.0,16.0,3.0,51.0,0.0,23.0,1.0,333.0,5.0,4.0,35.0,0.0,0.0,372.0,0.0,82.0,0.0,0.0,36.0,0.0,0.0,12.0,0.0,2.0
Seneca County,0.0,85.0,0.0,1.0,56.0,0.0,1.0,277.0,6.0,13.0,2.0,70.0,0.0,44.0,2.0,463.0,0.0,1.0,50.0,0.0,0.0,496.0,0.0,125.0,0.0,0.0,60.0,0.0,0.0,27.0,0.0,5.0
St. Lawrence County,0.0,290.0,1.0,1.0,233.0,0.0,4.0,795.0,17.0,35.0,12.0,250.0,1.0,119.0,3.0,1592.0,8.0,3.0,135.0,0.0,2.0,2024.0,0.0,570.0,1.0,0.0,150.0,0.0,0.0,54.0,0.0,7.0
Steuben County,0.0,294.0,1.0,0.0,246.0,0.0,4.0,954.0,10.0,47.0,13.0,301.0,0.0,117.0,8.0,1449.0,4.0,0.0,133.0,1.0,0.0,1632.0,1.0,440.0,0.0,1.0,177.0,0.0,0.0,51.0,0.0,8.0
Suffolk County,8.0,6992.0,62.0,114.0,4093.0,2.0,343.0,20215.0,443.0,817.0,365.0,2839.0,4.0,1503.0,355.0,26125.0,213.0,55.0,3013.0,4.0,19.0,12571.0,73.0,11434.0,51.0,10.0,4648.0,11.0,1.0,1268.0,1.0,209.0
Sullivan County,1.0,355.0,1.0,1.0,168.0,0.0,6.0,825.0,6.0,43.0,11.0,211.0,0.0,130.0,7.0,1216.0,7.0,5.0,205.0,0.0,0.0,1013.0,0.0,391.0,1.0,1.0,179.0,1.0,0.0,52.0,0.0,11.0
